ANAL_CODE,KEYWORD_GUBUN,KEYWORD_POSITIVE,SITE_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
ANAL-211104-0030,1,N,1,딱 찾던 물건입니다 소음도 없고 잘 미끄러집니다,늘쓰던거라 추가로 구입했네요내구성이 좀 아쉽긴함,만족합니다 ,진짜 미친것 같이 너무너무좋습니다 의자가 얼음빙판에 있는것처럼 미끄러져요 맙소사 오마이갓 입미다 무조건 쓰세요 무조건,,,,,,
ANAL-211104-0030,0,P,1,좋아요,,,,,1.3,,,,
ANAL-211104-0030,1,P,1,굿주방바닥이 타일이라 일반소음방지는 오히려 의자가 너무 안끌려서안움직여서힘들었는데 이건 잘 움직이고 소음도 방지되서 좋아요,먼지가달라붙지않는소재가좋은제품입니다의자발 커버에 먼지가 달라붙지 않고 커버 밑면을 매끄러운 소재를 사용해서 의자를 밀거나 당길때 뻑뻑하지 않아서 편하고 좋아요,,,,,,,,
ANAL-211104-0092,0,P,1,좋아,,,,,1.0,,,,
ANAL-211104-0092,1,P,1,괜찮네요,,,,,,,,,
ANAL-211104-0092,1,N,1,만족합니다,만족합니다,집 전선정리 하려고 주문했는데사이즈 미스였어요너무 두꺼워서 되도록 안보이는 곳에 설치했습니다,,,,,,,
ANAL-211104-0092,0,P,1,좋아요,좋습니다,전선,깔끔하게,정리,3.36,2.32,2.27,2.16,1.67
ANAL-211104-0092,1,P,1,배송이 엄청빠르고 리뷰에 접착력약하대서 걱정했는데잘못붙여서 땠다가 장판까지 들렸네용  깔끔하게 전선정리 다됐고 잘썼습니다,일전에 하얀색 샀다가 바닥에 하려고 하니 너무 사무실같은 분위기라 급하게 무늬목으로 하나 더 구입했습니다,접착력이 그리 좋진 않지만 장판색과는 잘 어울리네욥,주방에 연결하려고 구매했어요종이재질인지 알았는데 플라스틱이네요물 튀어도 걱정 없겠어요5m콘센트가 굵어서 사이즈가 맞을까 했는데 딱 맞아요접착력도 좋아요,얼마나 지속되는지는 모르겠지만 현재로서는 만족합니다,,,,,
ANAL-211104-0092,0,N,1,전선,접착,,,,1.61,1.0,,,
ANAL-211104-0092,1,N,1,스티커아쉽나머지는만족간단하게 잘라서 쓸수있는 상품이고 샤진에 보이는 무늬는 뚜껑에 스티커처럼 붙혀져있더군요,좀 큰 전선 콘센트 전선 두개 넣으면 딱 맞는 크기에요밑에 접착이 너무 세면 바닥 망가질까봐 걱정 했는데 정말 접착이 그냥 그래서 오히려 더 맘에 들어요없는것 도 아니고 살짝만 자리 유지 하는 정도에요,덜컥 샀다가 답안나올 수도 있으니까 자를 방법을 미리 연구한 다음에 사야해요,토깽이놈이 자꾸 전선을 물어치우려하는데 이걸로 벽에 잘 정리해두니 단선걱정은 덜었습니다,대만족기존 흰색 다른제품 샀는데 집 몰드랑 색차이때문에 하도 거슬려서 요제품 구매했는데 색이 몰드랑 딱맞아서 대박입니다,,,,,
ANAL-211104-0140,0,P,1,설치,,,,,1.37,,,,
ANAL-211104-0140,1,P,1,아주 잘쓰고있어요,재구매튼튼해서 두개나 시켰어요,남편이 이게 최고래요세폴보다 좋아요친정에도 설치하려고 샀어요짱,룸가드 설치 빼고 안전문 설치했어용 넘 좋네요,아가드 하이체어 상당히 만족해서 안전문도 믿고 구매했는데 깨끗하게 포장 잘 되서 온줄알고 설치 다해놓고보니 이따위꺼 보냈네요,,,,,
ANAL-211104-0140,1,N,1,상품을 검수를 안하나봐요 찌그러진게 심한데 그대로 출고 하나봐요,튼튼하고 좋아요 열때 들어야되서 조금 귀찮음,,,,,,,,
ANAL-211104-0140,1,P,1,튼튼하고 설치도 쉽고 다른 안전문에 비해 턱이 낮아 다니기는 좋지만 문을 들어올려서 열어야하는 점이 조금 불편해요 처음에는 적응안되서 양손으로 열었는데 지금은 한손으로도 힘이 조금 들지만 가능은 합니다 아기가 혼자서는 절대 열지 못할 것 같아요,든든하고좋아요,,,,,,,,
ANAL-211104-0022,0,P,1,좋아요,만족합니다,너무,좋네요,소리,13.59,5.0,4.63,4.45,4.22
ANAL-211104-0022,1,P,1,반신반의했는데  꽉 끼어지기도하고  정말 소리가 안나네요,의자에 딱 맞네요,이것저것 다이소제품으로 써봤는데 떨어지고 찢어지고 그런중에 동생네꺼 보고 주문해서 끼웠는데 만족 스럽네요,만족합니다 만족합니다,조아요,,,,,
ANAL-211104-0022,0,N,1,소리,좋아요,안나,만족합니,너무,2.88,2.46,1.61,1.53,1.42
ANAL-211104-0022,1,N,1,자로 센치 측정하고 구매했는데  생각보다 너무 작은게 와서 놀랐네요,의자 끌때마다 소리가 나서 아랫집한테 미안하고 스트레스였는데상품 넘 좋아요,다만 의자발에 끼우기 정말 힘들어요,좋네요,굿 지난번에 구입하고  두번째 구입했어요,,,,,
ANAL-211104-0022,0,P,1,좋아요,의자,소리,너무,좋네요,22.49,19.44,12.01,11.35,8.04
ANAL-211104-0022,1,P,1,의자 끄는 소리 때문에 아랫집에 혹여 피해를 줄까싶어 구매했어요,끌어도 소리 안나서 이제 안심이예요,넘좋아요바닥에 긁힘이나 자국이 나지않고 의자 끄는 소리도 나지 않아요,30mm 내외 5mm정도까지 사용가능합니다30mm 이하면 한사이즈 작은거 사용해도 될꺼 같네요,생각보다 너무괜찮아요,,,,,
ANAL-211104-0022,0,N,1,의자,소리,좋아요,사이즈,너무,6.75,5.2,4.32,3.25,3.19
ANAL-211104-0022,1,N,1,아파트라 필요했어요조용해서 좋네요,흠그리고 오래쓰니까 밑에 고무가 닳아버렸어요,아주 좋습니당 소리 절대 안나요,정말유용하고가성비좋아요지인추천할꺼예용아이가 이제 좀 커서 접어두었던 식탁을 다시 사용하게 되었는데 마루바닥이 나무소재라서 의자소리가 너무 커요,진짜이거꼭사세요부직포붙이고 별별걸 다해봐도소리나고 끌리고  해서요녀석을 구매했습니다와기적같이 부드럽고 소리 전혀없네요,,,,,
ANAL-211104-0086,0,P,1,걱정,떨어,디자인,깔끔,,1.0,1.0,1.0,1.0,
ANAL-211104-0086,1,P,1,접촉부분이 너무 허술해서 금방 떨어지네요,차라리저렴한오리지널돼지코안전캡을사는게좋다사이즈 측정하고 샀는데도 뭔가 어중간하고접착력이 매우 떨어지네요디자인은 합격인데 붙인다음 커버 여는 힘으로도 떼지네요,,,,,,,,
ANAL-211104-0086,0,N,1,붙이,접착력,,,,1.0,1.0,,,
ANAL-211104-0086,1,N,1,비추합니다접착력없어요접착력 꽝쿠팡중에 실패작 처음이에요,접착력거의0첫번째꺼 붙이고 두번째꺼 붙이고있음,접착력 진짜 안좋아요,아이들을위해 사용하는건데 8개월 아기 너무나 손쉽게 떼어내고 한번 떼어내니 접착력이 완전 떨어져요디자인은 깔끔하고 캡은 열기 어려운데 전체적으로 떼는건 너무쉬워요,사이즈는 잘 맞았으나 접착이 너무 약해요,,,,,
ANAL-211104-0138,0,P,1,좋아요,설치,너무,튼튼,아기가,18.54,11.71,11.26,7.84,7.51
ANAL-211104-0138,1,P,1,좋습니다,튼튼하고 좋아요,아우 너무 튼튼해요,튼튼해서 아이가 흔들어도 끄떡 없네요,좋아요,,,,,
ANAL-211104-0138,0,N,1,아기가,자꾸,설치,너무,좋아요,5.83,3.9,3.87,3.5,2.67
ANAL-211104-0138,1,N,1,불량와서 교환신청했는데 또 불량와서 다시 교환하느라 설치만 2주 걸렸습니다,배송은 빠른편이었고 아기가 현관으로 나가서 위험해서 구매했는데 나가지 못한다는거에 있어서는 대만족이나 흔들림은 어쩔수없나봐요 바닥고정 추가로 구매해서 했는데도 문부분이랑 흔들리는건 어쩔수없는것같네요,괜찮습니다자로 접을 수 있어서 공간에 맞춰 유연하게 설치했습니다,반자동이라 문 열고 자동으로 닫히는 힘으로 문이 잠겼는데 요즘 그 힘이 약해져서 자동잠금이 안되고 잠금 안 잠긴채로 닫혀만 있어요,또 떨어지면 박아야죠 문이 좁고 아래부분 고정나사 해도 윗부분은 흔들립니다,,,,,
ANAL-211104-0138,0,P,1,설치,너무,좋아요,안전문,튼튼,5.19,3.94,3.06,3.01,1.81
ANAL-211104-0138,1,P,1,감사합니다,허술해보이지만꽤묵직하고튼튼합니다쓰레기 버리는 날이라 현관이 도둑든거마냥 보이네요,튼튼하고 좋아요아기가 기어와도 이제는 안전하게 차단이 되어 안전문 역할을 잘하고 있어요,자꾸부엌으로나오려고해서 거실과 부엌 분리용으로구매  잘  사용하고있어요,아주깔끔함울타리가 흔들린다는 말이 많아서 주문 하고 걱정했는데 소형견 강아지가 쓰기엔 흔들림 없어요,,,,,
ANAL-211104-0138,0,N,1,너무,안전문,자꾸,설치,그냥,4.4,4.13,3.52,2.84,2.51
ANAL-211104-0138,1,N,1,약 10mm좀 비싸고 부품도 따로 살수는 없지만 그래도 이만한 제품은 없네요,의견이 갈리는 상품평을 보고  고민을 많이 하다가 그냥 질러버렸네요,다 교환하려다 그냥 하나는 쓰고 구성품 빠져있는건 보냅니다,기존에 방문에 쓰고있는 안전문에 비교하면 열고닫을때 단단함이 없달까 닫을때 자동으로 딸깍하고 잠기는게없고 손으로 꾹 눌러서 제가 닫아야해요비싼가격대비 별로입니다,벽밑에 걸레받이가 벽보다 좀 티어나와있는데살짝올려서 고정시키니 넘 좋네요이런 세세함에 놀랐습니다단점은 문열고 툭닫으면 안닫아져요금방 적응하겠지만요벽이랑바닥 고정하는테이프가 추가로 구입가능하면정말 좋겠어요벽은 테이프없어도 나사돌려박으면 되는데바닥은 아쉽네요아들키우면 늙는다는만 너무 공감되는 요즘입니다아들아 얼른 크자,,,,,
ANAL-211104-0010,0,P,1,좋아요,좋네요,좋습니다,너무,배송,14.82,3.97,3.18,3.08,3.07
ANAL-211104-0010,1,P,1,귀여워요,아기가 기기 전에 구입했어요,감사합니다,원래는 문사이에 끼우려고 샀는데 세탁기랑 건조기문에 끼워놓고 사용하고 있어요,좋아요,,,,,
ANAL-211104-0010,0,N,1,애기가,좋아요,아이가,아기,너무,2.25,2.17,1.99,1.61,1.44
ANAL-211104-0010,1,N,1,붙여놓으니 떨어지지도않고 애기가 딱 거기 머리박앗는데 안울었어요,색상그대로왔어요,아기 머리 보호위해 구입 아이보리라 티도 안나고,배송도 빠르고 좋네요,일단 너무 헐거워요방문에 걸어두자마자 그 다음날 스폰지 반짤렸어요,,,,,
ANAL-211104-0010,0,P,1,좋아요,,,,,1.74,,,,
ANAL-211104-0010,1,P,1,오래쓰길기대해봅니다색상이이뻐요물렁하고만졌을때느낌이부드럽고좋아요,사용하기편해요견고하고 사용하기 편해요,배송은 박스에 잘되어 왔구요파손 없습니다,별루에요사지마세요,좋아요좋아요,,,,,
ANAL-211104-0010,0,N,1,구매,,,,,1.31,,,,
ANAL-211104-0010,1,N,1,우리집문에 꼭 맞지않아요,날이 시원해져서 문을 열어놨더니 갑자기 쾅 하고 닫히는 바람에 저도 아기도 놀라서 얼른 구매했어요냄새가 살짝나는데 저 학교다닐때 유행하던 말랑한 빵모양 열쇠고리 냄새예요,하루사용했는데  문이쾅닫히면서 찢어졌네요부실 그자체입니다,바람에 문이 평상시보다 쎄개닫혔는데 두동강났네요예전 다이소에 저렴한것도 그래서 다신 안샀는데 이것도 그러네요,말랑말랑해서오랫동안사용하긴좀그럴것같네요말랑말랑해요,,,,,
ANAL-211104-0195,0,P,1,너무,맘에,제품도,조립,깔끔하,2.43,1.9,1.51,1.48,1.13
ANAL-211104-0195,1,P,1,디자인을 잘못보고 그냥 후딱 주문한 제탓이지만요 아기캐어나면 쓰려고 다른것하고 합배송하느라 시켰는데 맨위칸이 그냥 납작한 상판이라 불편할듯  바구니 놓고 사용해야겠네요,깔끔하고 세심한 포장상태와 드라이버가 들어있다는 점에서 조금 감동했어요,요리할때 주방공간이 너무 좁아서 불편했는데 잠시 위에 놓아두기도 하고 자주 사용하는 조미료나 간식거리도 같이 보관 할 수 있어서 너무 좋네요,조립하는 공구까지 들어있어서 변하게 조립 잘 했네요,배송도 빠르고 제품도 맘에 들어요,,,,,
ANAL-211104-0195,1,N,1,BEST조립 걱정했는데 너무 쉬워서 금방했네요  가격대비 품질도 우수하고 바퀴끄는소리 안나서 너무 좋아요 좋은 제품 감사합니당,,,,,,,,,
ANAL-211104-0195,1,P,1,바퀴가 달려있어 이동이 편리하고 수납바구니가 있어 여러가지 소품 놓기에 최고인듯해요위에는 선반으로 되어있어 화분이나 인테리어 소품 놓기 좋아요,,,,,,,,,
